Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
9/11/2000,1503.64,1517.02,1491.51,1499.68,1508.3,1517.6,1504.81,3937500
9/12/2000,1499.93,1506.37,1488.54,1489.78,1502.16,1513.92,1505.95,4769100
9/13/2000,1489.28,1496.46,1480.37,1493.24,1500.37,1512.07,1507.05,7691600
9/14/2000,1493.74,1502.41,1484.82,1488.54,1495.17,1507.97,1507.68,3397100
9/15/2000,1488.04,1495.47,1466.99,1469.47,1488.14,1501.76,1507.34,4085700
9/18/2000,1471.2,1475.66,1448.42,1453.37,1478.88,1493.59,1505.97,5109300
9/19/2000,1453.13,1468.73,1452.88,1464.52,1473.83,1487.99,1504.79,6588200
9/20/2000,1464.76,1466.5,1436.53,1455.11,1466.2,1483.29,1503.66,6508100
9/21/2000,1456.35,1460.06,1441.73,1455.6,1459.61,1477.39,1502.77,5972300
9/22/2000,1440.99,1457.09,1423.16,1454.61,1456.64,1472.39,1501.7,7791300
9/25/2000,1455.6,1463.77,1441.73,1447.18,1455.4,1467.14,1499.74,9726300
9/26/2000,1447.18,1453.13,1428.86,1429.35,1448.37,1461.1,1497.29,5302400
9/27/2000,1430.34,1442.23,1424.65,1433.31,1444.01,1455.11,1495.08,7186200
9/28/2000,1434.06,1466.99,1431.33,1462.04,1445.3,1452.46,1493.42,7036400
9/29/2000,1459.07,1459.32,1440.25,1440,1442.38,1449.51,1491.12,9333600
10/2/2000,1440,1450.4,1433.81,1442.48,1441.44,1448.42,1488.7,5517800
10/3/2000,1443.47,1460.06,1425.14,1427.87,1441.14,1444.76,1485.78,9347200
10/4/2000,1428.36,1443.47,1418.95,1436.53,1441.78,1442.9,1483.04,6149000
10/5/2000,1435.79,1448.17,1433.56,1442.23,1437.82,1441.56,1480.33,4566900
10/6/2000,1442.23,1446.69,1398.15,1413.26,1432.47,1437.43,1476.72,10014900
10/9/2000,1411.77,1413.26,1394.68,1403.1,1424.6,1433.02,1472.59,4508000
10/10/2000,1404.09,1411.03,1376.85,1377.84,1414.59,1427.87,1467.63,6104700
10/11/2000,1380.32,1384.78,1348.87,1365.71,1400.43,1421.11,1462.76,10366000
10/12/2000,1366.45,1374.63,1326.34,1331.78,1378.34,1408.08,1456.17,12336900
10/13/2000,1333.52,1374.63,1326.83,1372.4,1370.17,1401.32,1450.86,11778800
10/16/2000,1372.89,1380.57,1365.22,1378.34,1365.22,1394.91,1445.64,5659000
10/17/2000,1377.84,1382.3,1342.19,1346.94,1359.03,1386.81,1439.85,7831700
10/18/2000,1349.86,1359.02,1311.48,1340.01,1353.89,1377.16,1434.45,10897300
10/19/2000,1343.18,1390.72,1343.18,1387.75,1365.09,1371.71,1430.22,8767300
10/20/2000,1388.74,1408.55,1381.31,1397.66,1370.14,1370.15,1426.66,7373500
10/23/2000,1397.66,1406.32,1386.51,1403.85,1375.24,1370.23,1423.46,5290000
10/24/2000,1401.87,1415.24,1385.77,1389.73,1383.8,1371.42,1420.13,5750700
10/25/2000,1391.96,1392.21,1357.54,1361.01,1388,1370.95,1415.72,9137600
10/26/2000,1361.75,1371.16,1335.75,1358.28,1382.1,1373.6,1411.38,9345800
10/27/2000,1357.04,1388.74,1355.06,1387.75,1380.12,1375.13,1408.65,9762900
10/30/2000,1384.78,1406.07,1373.88,1397.85,1378.92,1377.08,1406.8,10154100
10/31/2000,1399.88,1431.83,1394.93,1426.63,1386.3,1385.05,1405.54,7752400
11/1/2000,1427.37,1427.37,1406.07,1418.46,1397.79,1392.9,1404.32,6753600
11/2/2000,1418.7,1430.84,1416.48,1421.43,1410.42,1396.26,1403.18,11395100
11/3/2000,1420.69,1430.84,1416.97,1422.67,1417.41,1398.76,1402.11,5187100
11/6/2000,1422.42,1438.76,1422.42,1432.82,1424.4,1401.66,1401.64,4042500
11/7/2000,1430.84,1432.32,1418.46,1430.34,1425.14,1405.72,1401.67,5231300
11/8/2000,1430.1,1441.24,1397.16,1399.88,1421.43,1409.61,1400.55,6123300
11/9/2000,1400.38,1407.31,1365.46,1389.98,1415.14,1412.78,1398.15,10635300
11/10/2000,1391.46,1394.68,1357.54,1359.52,1402.51,1409.96,1395.47,8569500
11/13/2000,1356.05,1360.01,1322.37,1345.9,1385.13,1404.76,1392.25,17285300
11/14/2000,1346.15,1386.51,1345.65,1381.31,1375.32,1400.23,1390.7,7668900
11/15/2000,1381.06,1391.22,1368.43,1384.28,1372.2,1396.81,1388.96,8837700
11/16/2000,1383.54,1389.48,1363.48,1366.21,1367.44,1391.29,1386.42,6684100
11/17/2000,1365.71,1380.32,1347.39,1357.54,1367.05,1384.78,1384.57,6551100
11/20/2000,1356.8,1360.51,1332.53,1334.26,1364.72,1374.92,1382.27,5458500
11/21/2000,1335.5,1349.86,1323.86,1342.93,1357.04,1366.18,1381.11,7684300
11/22/2000,1343.18,1348.13,1309.5,1310.49,1342.28,1357.24,1379.27,5736900
11/23/2000,1307.76,1317.92,1307.76,1316.43,1332.33,1349.89,1378.75,
11/24/2000,1317.42,1336.74,1307.76,1333.77,1327.57,1347.31,1377.47,3411600
11/27/2000,1335.75,1354.81,1335.75,1345.9,1329.9,1347.31,1376.39,5992000
11/28/2000,1345.65,1351.6,1324.85,1325.84,1326.48,1341.76,1375.68,5336100
11/29/2000,1325.35,1344.66,1320.39,1322.62,1328.91,1335.6,1375.1,6914100
11/30/2000,1320.15,1321.14,1284.49,1309,1327.43,1329.88,1372.48,11201600
12/1/2000,1309,1325.59,1297.61,1308.01,1322.28,1324.92,1369.49,7587200
12/4/2000,1310.49,1324.85,1300.83,1317.92,1316.68,1323.29,1366.63,6996600
12/5/2000,1318.91,1367.2,1316.43,1361.25,1323.76,1325.12,1365.68,8883400
12/6/2000,1360.01,1366.45,1326.58,1341.19,1327.48,1328.19,1365.02,12888000
12/7/2000,1341.44,1348.52,1322.65,1324.11,1330.5,1328.96,1363.88,6529100
12/8/2000,1322.65,1372.92,1319.72,1325.09,1333.91,1328.09,1361.79,10276300
12/11/2000,1353.4,1378.53,1348.27,1369.5,1344.23,1330.45,1360.84,6405600
12/12/2000,1369.5,1369.5,1357.3,1365.84,1345.15,1334.45,1358.82,5022900
12/13/2000,1367.06,1375.6,1342.66,1344.85,1345.88,1336.68,1356.36,6070500
12/14/2000,1345.1,1350.47,1323.62,1325.58,1346.17,1338.34,1353.17,7778400
12/15/2000,1318.01,1326.31,1291.9,1294.34,1340.02,1336.97,1348.89,9065300
12/18/2000,1298.24,1320.45,1297.76,1314.35,1328.99,1336.61,1344.94,7235400
12/19/2000,1314.6,1334.12,1285.8,1286.53,1313.13,1329.14,1340.15,9616700
12/20/2000,1287.26,1294.34,1245.53,1248.95,1293.95,1319.92,1335.12,9994300
12/21/2000,1249.93,1273.11,1239.92,1257.25,1280.28,1313.23,1330.69,14331500
12/22/2000,1258.96,1295.8,1258.96,1295.07,1280.43,1310.23,1328.54,10182900
12/26/2000,1292.39,1306.05,1287.02,1305.08,1278.58,1303.78,1327.18,4665300
12/27/2000,1305.57,1319.23,1295.8,1318.26,1284.92,1299.03,1325.08,4854100
12/28/2000,1317.52,1321.92,1309.47,1320.94,1299.32,1296.63,1322.97,8358700
12/29/2000,1320.45,1324.11,1294.34,1303.13,1308.49,1294.39,1320.87,8774600
1/2/2001,1299.22,1304.83,1258.47,1268.72,1303.22,1291.83,1317.91,8737500
1/3/2001,1269.94,1334.61,1257.98,1326.8,1307.57,1293.07,1317.66,19431600
1/4/2001,1327.53,1332.9,1309.47,1316.06,1307.13,1296.02,1316.76,9219000
1/5/2001,1313.62,1347.05,1271.89,1273.35,1297.61,1298.46,1315.52,12911400
1/8/2001,1277.01,1281.16,1256.76,1278.23,1292.63,1300.56,1314.25,6625300
1/9/2001,1280.67,1293.85,1272.62,1278.23,1294.54,1298.88,1312.4,5702400
1/10/2001,1278.23,1297.02,1266.28,1295.32,1288.24,1297.9,1310.71,8746100
1/11/2001,1294.1,1311.42,1288,1302.64,1285.56,1296.34,1309.94,7245300
1/12/2001,1300.2,1312.64,1290.44,1298.49,1290.58,1294.1,1309.14,7244000
1/15/2001,1297.02,1300.44,1293.85,1299.71,1294.88,1293.75,1308.83,
1/16/2001,1298.73,1307.52,1291.9,1303.61,1299.95,1297.24,1308.68,8542200
1/17/2001,1305.32,1325.33,1302.64,1309.71,1302.83,1295.54,1308.41,7851400
1/18/2001,1310.45,1331.43,1305.08,1323.62,1307.03,1296.29,1307.15,8107000
1/19/2001,1326.55,1339,1313.62,1316.3,1310.59,1300.59,1306.32,7782500
1/22/2001,1313.86,1331.43,1309.23,1326.06,1315.86,1305.37,1306.39,7050900
1/23/2001,1324.36,1339.97,1316.3,1333.39,1321.82,1310.89,1306.66,8463100
1/24/2001,1333.63,1346.08,1332.65,1337.53,1327.38,1315.11,1305.6,6199900
1/25/2001,1337.05,1345.83,1330.21,1331.92,1329.04,1318.04,1304.47,10818300
1/26/2001,1331.68,1334.12,1318.01,1330.7,1331.92,1321.26,1304,7136800
1/29/2001,1330.46,1341.19,1326.06,1337.29,1334.17,1325.02,1304.39,6705900
1/30/2001,1337.53,1351.2,1330.7,1349,1337.29,1329.55,1306.21,7069100
1/31/2001,1348.03,1360.72,1338.51,1340.22,1337.83,1332.6,1307.07,9706900
2/1/2001,1340.71,1350.47,1333.63,1349.49,1341.34,1335.19,1309.17,8239600
2/2/2001,1349.49,1352.91,1320.45,1320.94,1339.39,1335.66,1311.57,8276700
