Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2002-11-08,855.78,875.38,841.37,842.31,833.43,819.12,895.79,241220000
2002-11-15,842.78,860.26,822.23,858.85,846.75,820.49,888.9,206450000
2002-11-22,858.85,885.77,843.02,877.51,855.35,824.03,884.35,186340000
2002-11-29,877.74,890.5,860.5,884.36,862.39,832.89,880,133510000
2002-12-06,882.47,902.55,842.55,863.33,865.27,841.25,875.55,235340000
2002-12-13,863.33,867.11,837.81,838.52,864.51,848.97,868.66,180910000
2002-12-20,838.04,861.93,831.19,848.21,862.39,854.57,862.81,175650000
2002-12-27,847.74,854.36,824.09,824.57,851.8,853.57,856.64,73290000
2003-01-03,825.04,861.46,821.02,860.75,847.08,854.73,852.92,140880000
2003-01-10,861.69,882.5,854.83,876.35,849.68,857.48,850.32,191040000
2003-01-17,876.35,886.28,849.16,854.12,852.8,858.66,847.55,177150000
2003-01-24,854.36,858.14,811.09,813.69,845.9,854.14,843.49,209980000
2003-01-31,813.69,820.78,790.75,808.49,842.68,847.24,839.23,264250000
2003-02-07,808.49,817.24,780.58,785.55,827.64,837.36,836.53,235700000
2003-02-14,786.49,797.14,761.67,791.7,810.71,830.19,836.34,245960000
2003-02-21,793.83,807.07,784.84,801.39,800.16,826.48,836.16,161230000
2003-02-28,801.63,804.47,773.02,795.48,796.52,821.21,835.43,221160000
2003-03-07,798.32,806.83,765.21,783.66,791.55,817.12,832.97,223590000
2003-03-14,782.71,797.9,745.82,789.14,792.27,809.96,830.05,287849984
2003-03-21,787.01,848.58,778.72,846.22,803.18,806.94,828.62,327830016
2003-03-28,838.87,838.87,810.93,817.56,806.41,803.29,827.02,258300000
2003-04-04,813.29,841.95,795.77,832.24,813.76,805.14,826.59,250520000
2003-04-11,836.5,857.35,816.14,822.53,821.54,806.55,825.94,255180000
2003-04-18,825.14,855.93,819.93,844.32,832.57,812.42,827.56,176270000
2003-04-25,845.98,871.08,838.4,851.19,833.57,818.37,829.94,230180000
2003-05-02,851.66,881.27,848.11,878.66,845.79,826.1,833.85,248400000
2003-05-09,878.19,890.03,869.9,883.16,855.97,834.87,836.88,195920000
2003-05-16,884.11,899.74,879.37,894.53,870.37,845.95,838.88,190080000
2003-05-23,892.16,892.16,863.27,883.16,878.14,855.36,840.02,213180000
2003-05-30,883.16,915.13,878.19,912.53,890.41,861.99,842.14,185020000
2003-06-06,913,955.4,912.77,935.74,901.82,873.81,845.25,246520000
